Block Size,Insertion Sort Time (ms),Selection Sort Time (ms)
95900,4721.00,9519.00
96000,4750.00,9174.00
96100,4574.00,9211.00
96200,4562.00,9208.00
96300,4638.00,9224.00
96400,4574.00,9252.00
96500,4640.00,9358.00
96600,4623.00,9278.00
96700,4599.00,9285.00
96800,4618.00,9331.00
96900,4628.00,9300.00
97000,4636.00,9322.00
97100,4654.00,9349.00
97200,4758.00,10304.00
97300,5194.00,10157.00
97400,7117.00,13122.00
97500,6686.00,13508.00
97600,4763.00,10425.00
97700,8569.00,16896.00
97800,7900.00,14682.00
97900,7239.00,15470.00
98000,7329.00,14857.00
98100,7029.00,14886.00
98200,7333.00,14651.00
98300,6995.00,14407.00
98400,7720.00,11383.00
98500,4855.00,9950.00
98600,5240.00,9959.00
98700,4800.00,9668.00
98800,4812.00,9693.00
98900,4818.00,9731.00
99000,4922.00,9760.00
99100,4899.00,9736.00
99200,4842.00,12964.00
99300,7126.00,14103.00
99400,7358.00,14619.00
99500,7220.00,14929.00
99600,7957.00,23048.00
99700,8260.00,14628.00
99800,7294.00,14613.00
99900,7301.00,16167.00
100000,7474.00,14579.00
